,ensembl_gene_id,prev_symbol,symbol
337,ENSG00000173698,GPR64,ADGRG2
338,ENSG00000182885,GPR97,ADGRG3
339,ENSG00000156920,GPR112,ADGRG4
340,ENSG00000159618,GPR114,ADGRG5
341,ENSG00000112414,GPR126,ADGRG6
342,ENSG00000144820,GPR128,ADGRG7
343,ENSG00000072071,LPHN1,ADGRL1
344,ENSG00000117114,LPHH1|LPHN2,ADGRL2
345,ENSG00000150471,LPHN3,ADGRL3
346,ENSG00000162618,ELTD1,ADGRL4
347,ENSG00000164199,USH2C|MASS1|GPR98,ADGRV1
348,ENSG00000187758,ADH1,ADH1A
349,ENSG00000196616,ADH2,ADH1B
350,ENSG00000248144,ADH3,ADH1C
351,ENSG00000198099,,ADH4
352,ENSG00000197894,FDH,ADH5
353,ENSG00000172955,,ADH6
354,ENSG00000196344,,ADH7
355,ENSG00000147576,,ADHFE1
356,ENSG00000182551,,ADI1
357,ENSG00000182035,,ADIG
358,ENSG00000181092,ACDC,ADIPOQ
359,ENSG00000159346,,ADIPOR1
360,ENSG00000006831,,ADIPOR2
361,ENSG00000148671,C10orf116,ADIRF
362,ENSG00000156110,,ADK
363,ENSG00000148926,,ADM
364,ENSG00000128165,,ADM2
365,ENSG00000224420,C19orf76,ADM5
366,ENSG00000101126,,ADNP
367,ENSG00000101544,ZNF508,ADNP2
368,ENSG00000181915,C10orf22,ADO
369,ENSG00000163485,,ADORA1
370,ENSG00000128271,ADORA2,ADORA2A
371,ENSG00000170425,,ADORA2B
372,ENSG00000282608,,ADORA3
373,ENSG00000159322,,ADPGK
374,ENSG00000144843,,ADPRH
375,ENSG00000153531,,ADPRHL1
376,ENSG00000170222,C17orf48,ADPRM
377,ENSG00000116863,ADPRHL2,ADPRS
378,ENSG00000120907,ADRA1C,ADRA1A
379,ENSG00000170214,,ADRA1B
380,ENSG00000171873,,ADRA1D
381,ENSG00000150594,ADRA2|ADRA2R,ADRA2A
382,ENSG00000274286,ADRA2L1|ADRA2RL1,ADRA2B
383,ENSG00000184160,ADRA2L2|ADRA2RL2,ADRA2C
384,ENSG00000043591,ADRB1R,ADRB1
385,ENSG00000169252,ADRB2R,ADRB2
386,ENSG00000188778,,ADRB3
387,ENSG00000130706,,ADRM1
388,ENSG00000239900,,ADSL
389,ENSG00000185100,ADSSL1,ADSS1
390,ENSG00000035687,ADSS,ADSS2
391,ENSG00000111863,C6orf105,ADTRP
392,ENSG00000106624,,AEBP1
393,ENSG00000139154,,AEBP2
394,ENSG00000181026,ISG20L1,AEN
395,ENSG00000196526,,AFAP1
396,ENSG00000157510,,AFAP1L1
397,ENSG00000169129,KIAA1914,AFAP1L2
398,ENSG00000130396,MLLT4,AFDN
399,ENSG00000172493,PBM1|MLLT2,AFF1
400,ENSG00000155966,FMR2,AFF2
401,ENSG00000144218,LAF4,AFF3
402,ENSG00000072364,,AFF4
403,ENSG00000135537,LACE1,AFG1L
404,ENSG00000141385,SCA28,AFG3L2
405,ENSG00000079557,,AFM
406,ENSG00000183077,,AFMID
407,ENSG00000081051,HPAFP,AFP
408,ENSG00000119844,,AFTPH
409,ENSG00000038002,,AGA
410,ENSG00000157985,CENTG2,AGAP1
411,ENSG00000135439,CENTG1,AGAP2
412,ENSG00000133612,CENTG3,AGAP3
413,ENSG00000188234,CTGLF1|AGAP8|CTGLF5,AGAP4
414,ENSG00000172650,CTGLF2,AGAP5
415,ENSG00000204149,CTGLF3,AGAP6
416,ENSG00000204172,CTGLF6,AGAP9
417,ENSG00000273540,,AGBL1
418,ENSG00000165923,,AGBL2
419,ENSG00000146856,,AGBL3
420,ENSG00000186094,,AGBL4
421,ENSG00000084693,,AGBL5
422,ENSG00000204305,,AGER
423,ENSG00000173744,HRB,AGFG1
424,ENSG00000106351,HRBL,AGFG2
425,ENSG00000164252,,AGGF1
426,ENSG00000006530,MULK,AGK
427,ENSG00000162688,,AGL
428,ENSG00000116771,,AGMAT
429,ENSG00000187546,TMEM195,AGMO
430,ENSG00000092847,EIF2C1,AGO1
431,ENSG00000123908,EIF2C2|CASC7,AGO2
432,ENSG00000126070,EIF2C3,AGO3
433,ENSG00000134698,EIF2C4,AGO4
434,ENSG00000204310,,AGPAT1
435,ENSG00000169692,BSCL,AGPAT2
436,ENSG00000160216,,AGPAT3
