Unnamed: 0.1,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000198768,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.1653661661980862,-0.1906656975212485,0,0.5968311919008575,0.2,-0.2159661787699051
ENSG00000198771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508752273193686,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407419107116129,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000198793,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0807607870363038,7.915113391012527,1,1.4207497849273414,0.5,7.700499785661706
ENSG00000198795,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.3632535881507044,-0.1906656975212485,0,1.4207497849273414,0.4,-0.2159661787699051
ENSG00000198807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325111058956602,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198812,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064410788093524,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270063874467343,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198822,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0074130376222897,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198824,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.096043488533613,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5569447208595868,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198826,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4591231660662676,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198836,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1991526211206129,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198837,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000847606317202,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3614176210462327,-0.1906656975212485,0,4.716424157033277,1.0,-0.2159661787699051
ENSG00000198855,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0482587206548319,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198858,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339008350647469,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198862,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1770549035838184,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198879,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0795311162040319,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0334620814561385,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640915615709968,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198901,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.7381701865705845,-0.1906656975212485,0,1.4207497849273414,0.0,-0.2159661787699051
ENSG00000198908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0065375363476731,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000198909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0642090471206455,2.511260665323343,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198910,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.1591434109422608,-0.1906656975212485,0,1.4207497849273414,0.5,-0.2159661787699051
ENSG00000198915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1969806947156658,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1354449454715933,-0.1906656975212485,0,0.5968311919008575,1.0,3.742266803445901
ENSG00000198934,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2085664625179774,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000198944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531094592587296,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198947,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4062387746730218,-0.1906656975212485,0,0.5968311919008575,1.0,2.4228558093739654
ENSG00000198959,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.9935610162112356,-0.1906656975212485,0,1.4207497849273414,1.0,3.742266803445901
ENSG00000198963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0460822490459127,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000203485,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5407533563946583,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000203663,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0331773065112082,-0.1906656975212485,0,2.244668377953825,1.0,-0.2159661787699051
