gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000116584,0,0,1,0,0,0,0,0.429689281,-0.223707831,0,2.56182538,1,2.526060024
ENSG00000116604,0.666666667,0,0,0,0,0,0,0.159748364,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116641,0,0,0.666666667,0,0.333333333,0,0,0.059695915,-0.223707831,0,0.990657107,1,3.469215031
ENSG00000116649,0.5,0,0.5,0,0,0,0,0.863277895,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000116663,1,0,0,0,0,0,0,0.233517921,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116668,0,0,1,0,0,0,0,0.089949328,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000116670,0,0,1,0,0,0,0,0.561324915,1.588566547,0,0.205072971,1,3.469215031
ENSG00000116679,0.333333333,0.333333333,0.333333333,0,0,0,0,0.38588379,-0.223707831,0,0.990657107,0.5,-0.303404999
ENSG00000116688,0.25,0,0.5,0,0,0,0,0.523582203,-0.223707831,0,0.990657107,0.666666667,1.582905016
ENSG00000116690,0,0,0.75,0,0,0.25,0,0.070238851,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000116691,0,0,0.333333333,0,0.333333333,0,0,0.476819191,-0.223707831,0,0.990657107,1,0.639750009
ENSG00000116698,0,0,0.75,0.25,0,0,0,0.173115406,-0.223707831,0,2.56182538,1,0.639750009
ENSG00000116701,0,0,1,0,0,0,0,0.12048288,-0.223707831,0,0.990657107,1,0.639750009
ENSG00000116704,1,0,0,0,0,0,0,0.176555346,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116711,0.2,0.2,0.4,0.2,0,0,0,1.148927879,3.400840925,0,2.56182538,0.666666667,0.639750009
ENSG00000116726,0,0,1,0,0,0,0,0.009244461,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000116729,0,0,1,0,0,0,0,0.381808031,-0.223707831,0,0.205072971,1,4.412370039
ENSG00000116731,0.333333333,0,0.666666667,0,0,0,0,0.238387557,-0.223707831,0,0.205072971,0.666666667,1.582905016
ENSG00000116741,0,0,0,1,0,0,0,0.649730195,-0.223707831,0,0.205072971,0,0.639750009
ENSG00000116747,0,0,0.75,0,0,0,0.25,0.121029681,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000116748,0,0,0.8,0,0.2,0,0,0.102521785,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000116761,0,0,0.5,0.5,0,0,0,0.201075016,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116774,0,0,1,0,0,0,0,0.672819473,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000116783,0,0,1,0,0,0,0,0.018342248,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116785,0.5,0,0.5,0,0,0,0,0.018898948,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000116786,1,0,0,0,0,0,0,0.107186249,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116793,0,0,0.5,0,0,0,0,0.050587868,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116809,0.5,0,0.5,0,0,0,0,0.314167496,3.400840925,0,0.205072971,0.5,2.526060024
ENSG00000116819,1,0,0,0,0,0,0,0.126488166,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116830,1,0,0,0,0,0,0,0.010658147,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116833,0,0,0,0,0,0,0,0.063992822,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116852,0.142857143,0,0.714285714,0,0.142857143,0,0,0.017369799,-0.223707831,0,2.56182538,0.833333333,-0.303404999
ENSG00000116871,0,0,1,0,0,0,0,0.003888916,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116874,0,0,1,0,0,0,0,0.28036366,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000116903,1,0,0,0,0,0,0,0.047804466,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000116906,0,0,1,0,0,0,0,0.07684016,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000116962,0,0,1,0,0,0,0,0.877378934,-0.223707831,0,1.776241244,1,2.526060024
ENSG00000116983,0,0,1,0,0,0,0,0.175082339,-0.223707831,0,0.990657107,1,0.639750009
ENSG00000116991,0,0,1,0,0,0,0,0.032376086,-0.223707831,0,0.990657107,1,1.582905016
ENSG00000116996,0.5,0,0,0,0,0,0,0.000807625,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117000,0,0.5,0,0.5,0,0,0,0.174670116,-0.223707831,0,0.990657107,0,-0.303404999
ENSG00000117009,0,0,1,0,0,0,0,0.024215546,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000117020,0,0,1,0,0,0,0,0.140709296,17.89903595,1,0.205072971,1,1.582905016
ENSG00000117036,0,0.4,0.4,0.2,0,0,0,0.343215412,-0.223707831,0,2.56182538,1,-0.303404999
ENSG00000117069,0,0,0,0,0,0,0,0.048488956,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117091,0,0,1,0,0,0,0,0.127534602,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000117114,0.166666667,0,0.666666667,0,0,0.166666667,0,0.732015246,-0.223707831,0,1.776241244,0.8,-0.303404999
ENSG00000117115,1,0,0,0,0,0,0,0.550068142,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117118,0,0,1,0,0,0,0,0.093717706,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117133,0,0,1,0,0,0,0,0.151101255,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117139,0,0,1,0,0,0,0,0.273408413,-0.223707831,0,0.990657107,1,1.582905016
ENSG00000117143,0,0,1,0,0,0,0,0.84618305,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117148,0,0,0.666666667,0,0,0,0,0.024999804,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000117151,0.5,0,0.5,0,0,0,0,0.06735017,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000117153,0.333333333,0,0.666666667,0,0,0,0,0.184539763,-0.223707831,0,0.205072971,0.666666667,4.412370039
ENSG00000117154,0,0,1,0,0,0,0,0.061260403,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117222,0,0,0,0,0,1,0,0.106506722,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117226,0,0.5,0,0.5,0,0,0,0.53854444,-0.223707831,0,0.990657107,0,0.639750009
ENSG00000117228,0.5,0,0,0,0,0,0,0.667639475,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117245,0.5,0,0,0.5,0,0,0,0.185642769,-0.223707831,0,0.205072971,0,0.639750009
ENSG00000117266,1,0,0,0,0,0,0,0.645393682,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117281,0,0,1,0,0,0,0,0.056566373,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117298,0,0,0.5,0,0,0,0,0.131070443,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117305,0.333333333,0,0.333333333,0,0,0,0,0.053139637,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000117308,0,0,1,0,0,0,0,0.15968666,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117322,0,0,0.5,0.5,0,0,0,0.043421439,1.588566547,0,0.990657107,1,-0.303404999
ENSG00000117335,0.25,0,0.5,0,0,0,0,0.224396183,-0.223707831,0,0.990657107,0.666666667,-0.303404999
ENSG00000117360,1,0,0,0,0,0,0,0.232231856,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117394,0,0,1,0,0,0,0,0.286790269,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117395,0,0,0,0,0,0.5,0,0.305389483,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117399,0.5,0,0,0.5,0,0,0,0.888458498,1.588566547,0,0.205072971,0,5.355525046
ENSG00000117400,1,0,0,0,0,0,0,0.088156608,3.400840925,0,-0.580511166,0,-0.303404999
ENSG00000117410,0.5,0,0.5,0,0,0,0,0.524750787,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000117411,0,0,1,0,0,0,0,0.185958256,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000117425,0,0,1,0,0,0,0,0.085861932,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000117450,0,0,1,0,0,0,0,0.040623498,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117461,1,0,0,0,0,0,0,0.266079379,16.08676157,1,-0.580511166,0,-0.303404999
ENSG00000117472,0,0,0,0,0,0,0,1.26866898,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000117477,0,0,1,0,0,0,0,0.342770296,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117479,0,0,1,0,0,0,0,0.512532658,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000117480,0,0,1,0,0,0,0,0.942502409,-0.223707831,0,0.205072971,1,-0.303404999
